Date,Open,High,Low,Close,Adj Close,Volume
2013-01-31,328.299988,328.950012,320.049988,321.524994,303.367371,6944192
2013-02-01,322.399994,322.424988,318.100006,320.075012,301.999268,5242072
2013-02-04,320.575012,324.75,320,323.450012,305.183685,5237900
2013-02-05,318.174988,323.600006,318.174988,322.075012,303.886292,3730010
2013-02-06,323.299988,323.450012,318.600006,319.75,301.692627,4936794
2013-02-07,318.149994,321.5,317.274994,320.75,302.636139,4541418
2013-02-08,320.25,326.700012,320.25,325.024994,306.669678,9413328
2013-02-11,325,329.975006,325,328.475006,309.924835,7583530
2013-02-12,327.825012,333.5,327.825012,332.600006,313.816956,7916418
2013-02-13,331.649994,333.700012,329.75,332.100006,313.345154,7254416
2013-02-14,332,339.200012,331,337.399994,318.345886,8842076
2013-02-15,335.850006,340.399994,334.100006,338.375,319.265778,6244390
2013-02-18,339,340.450012,337,338,318.911957,4734582
2013-02-19,337.25,338.700012,335.774994,337.399994,318.345886,1187406
2013-02-20,338.75,340.399994,337.450012,338.475006,319.360138,3430842
2013-02-21,337.5,338.725006,332.024994,333.125,314.312286,5435936
2013-02-22,331.100006,333.200012,328.774994,329.649994,311.033539,3854192
2013-02-25,331.625,332.600006,327.049988,328.225006,309.688995,3776472
2013-02-26,327.399994,331.5,322.700012,325.625,307.23584,5871320
2013-02-27,326.149994,327,320.450012,321.375,303.2258,6435668
2013-02-28,323.475006,327.475006,309.674988,312.674988,295.017181,13943502
2013-03-01,312.5,314.799988,308.149994,311.25,293.672638,8610364
2013-03-04,310.174988,315.149994,309,313.825012,296.102203,5984900
2013-03-05,315.450012,317.350006,311.575012,316.475006,298.602509,5278790
2013-03-06,317.475006,318.575012,314.5,315.25,297.446716,5466658
2013-03-07,314.174988,321.475006,313.575012,320.899994,302.777649,2975492
2013-03-08,322.100006,330,321.700012,328.649994,310.089996,5298430
2013-03-11,328.649994,329.850006,325.125,327.625,309.122894,4252292
2013-03-12,326.5,327.850006,320.049988,322,303.815552,3447862
2013-03-13,320.524994,322.950012,316.100006,317.450012,299.522491,3956686
2013-03-14,317.450012,326.75,307.674988,324.625,306.292267,15957218
2013-03-15,322.5,324.950012,316.899994,319.700012,301.645386,7719804
2013-03-18,316.5,327,315,321.649994,303.48526,8780962
2013-03-19,321.5,321.899994,312,315.774994,297.942078,10014230
2013-03-20,316,316.725006,310.5,312.75,295.087891,5668218
2013-03-21,311.325012,314.399994,301.875,303.5,286.360291,7226294
2013-03-22,304.5,307.299988,301.299988,302.625,285.534668,14762950
2013-03-25,305.5,306.674988,303.774994,304.700012,287.492584,13599488
2013-03-26,303,308.75,301.274994,307.25,289.89856,6637202
2013-03-28,308.25,315.575012,303.475006,312.674988,295.017181,9748046
2013-04-01,312.325012,314.5,310.5,311.924988,294.309509,3354386
2013-04-02,312.5,317.149994,308.950012,314.950012,297.163666,3428710
2013-04-03,314,315.825012,309.75,311.825012,294.215179,3351808
2013-04-04,309.399994,311.700012,306.725006,308.075012,290.676941,4090992
2013-04-05,307.475006,313.200012,306.700012,310.475006,292.941437,6479960
2013-04-08,309.475006,314.475006,308.875,312.225006,294.59256,4326064
2013-04-09,314.049988,314.049988,308.700012,310.299988,292.776306,7380204
2013-04-10,313.399994,316.825012,309.475006,316,298.154449,7572252
2013-04-11,316.25,321,315.950012,319.625,301.574646,12533034
2013-04-12,318.049988,322.924988,318.049988,321.850006,303.674011,7603040
2013-04-15,321.049988,321.725006,317.5,320.774994,302.659668,7961884
2013-04-16,321.5,332.924988,321.174988,331.674988,312.944153,6870156
2013-04-17,332.5,335.924988,328.399994,330.049988,311.410889,7478474
2013-04-18,327,337.700012,327,336.799988,317.779755,4611892
2013-04-22,337.350006,351,337.350006,349.149994,329.432312,9930076
2013-04-23,349.399994,350,339.399994,344.5,325.044861,11931780
2013-04-25,346.174988,347.5,340.024994,344.774994,325.304352,12947562
2013-04-26,343.825012,346.125,341.5,344.549988,325.092041,4284372
2013-04-29,344.125,348.424988,343.25,347.575012,327.946228,5837716
