Date,Open,High,Low,Close,Adj Close,Volume,Comp_Social,Neg_Social,Neu_Social,Pos_Social,Comp_News,Pos_News,Neu_News,Neg_News
03-09-2018,384,392.950012,378.450012,384.450012,377.403717,2744322,0,0,1,0,0.9995,0.097,0.891,0.011
29-08-2018,383.25,393.299988,383.25,385.899994,378.827118,3234342,0.8126,0,0.856,0.144,0.9995,0.097,0.891,0.011
09-08-2018,376,381,371.549988,378,371.07193,1992284,0.9081,0,0.573,0.427,0.9995,0.097,0.891,0.011
08-08-2018,375,376.549988,369.649994,374.600006,367.734253,3276532,-0.7003,0.119,0.881,0,0.9995,0.097,0.891,0.011
07-08-2018,393.5,394.450012,369.200012,372.299988,365.476379,9635697,-0.5499,0.107,0.788,0.104,0.9995,0.097,0.891,0.011
02-08-2018,397.600006,404.600006,394,399.149994,391.834259,2966243,0,0,1,0,0.9995,0.098,0.891,0.011
27-07-2018,402.450012,402.450012,391.149994,394.649994,387.416748,2966414,0,0,1,0,0.9995,0.098,0.891,0.011
24-07-2018,385.399994,394.299988,382.75,392.600006,383.471283,3937762,-0.3919,0.034,0.966,0,0.9995,0.098,0.891,0.011
13-07-2018,374,377.299988,367.5,370.399994,361.787445,3006407,0.8964,0,0.838,0.162,0.9995,0.098,0.891,0.011
05-07-2018,361.350006,363.399994,355.600006,361.899994,353.485107,1526982,0.6369,0,0.866,0.134,0.9995,0.098,0.891,0.011
28-06-2018,359.700012,364.450012,358.149994,361.799988,353.38739,9627099,0.296,0,0.909,0.091,0.9995,0.098,0.89,0.011
21-06-2018,369,374.799988,365.950012,366.899994,358.368835,4844094,0.7964,0,0.784,0.216,0.9995,0.098,0.891,0.011
16-05-2018,407.75,409.75,400.25,403.100006,393.727112,1897907,0.2023,0,0.955,0.045,0.9995,0.098,0.891,0.011
04-05-2018,401.950012,409.600006,391.299988,408.25,398.757385,4782981,0.3182,0.049,0.844,0.107,0.9995,0.099,0.89,0.011
03-05-2018,399.700012,406.299988,393.549988,397,387.768951,3161687,0.9153,0,0.914,0.086,0.9995,0.099,0.89,0.011
17-04-2018,391.5,393.950012,382,383.399994,374.485199,3770554,0.7003,0,0.793,0.207,0.9995,0.099,0.89,0.011
13-04-2018,375.799988,386.899994,372.350006,383.100006,374.192169,6485732,0.4576,0,0.857,0.143,0.9995,0.099,0.89,0.011
09-03-2018,392,393.649994,373.799988,377.899994,369.113037,5352078,0.5859,0,0.798,0.202,0.9995,0.099,0.89,0.011
08-03-2018,379,393,369.700012,387.950012,378.929382,11040375,0.7351,0,0.795,0.205,0.9996,0.102,0.888,0.011
07-03-2018,398.950012,398.950012,372.25,376.950012,368.185181,6951930,0.8402,0.031,0.812,0.157,0.9996,0.102,0.888,0.011
20-02-2018,394,398,387.200012,394.899994,385.717773,2045167,0,0,1,0,0.9996,0.102,0.888,0.011
19-01-2018,418.799988,435.450012,418.799988,433.450012,423.371429,7588904,0.6901,0,0.749,0.251,0.9996,0.104,0.885,0.01
18-01-2018,437.950012,438.149994,409.350006,416.25,406.57135,8794103,0.8335,0,0.815,0.185,0.9996,0.105,0.885,0.01
15-01-2018,425.549988,427.899994,419.5,420.600006,410.820221,1599208,0.3818,0,0.88,0.12,0.9996,0.105,0.885,0.01
12-12-2017,391.5,405.600006,389.5,402.5,393.141113,6686699,0,0,1,0,0.9997,0.106,0.884,0.01
27-11-2017,404.5,404.5,398,399.5,390.210846,2993007,0.6486,0,0.71,0.29,0.9997,0.106,0.884,0.01
22-11-2017,402.5,416.649994,401.649994,414.5,404.86203,5170814,0,0,1,0,0.9997,0.109,0.881,0.01
17-11-2017,401,405,396,400.950012,391.627106,6515843,0.6124,0,0.762,0.238,0.9997,0.108,0.882,0.01
16-11-2017,408,410.600006,395,397.200012,387.964355,5321941,0.6486,0,0.71,0.29,0.9997,0.108,0.882,0.01
14-11-2017,413.350006,417.850006,406.700012,410.75,401.199249,2326922,-0.7003,0.104,0.84,0.056,0.9997,0.108,0.882,0.01
13-11-2017,433,433.549988,411.399994,413.350006,403.7388,4344820,0.3843,0.071,0.774,0.155,0.9997,0.109,0.881,0.01
23-10-2017,403.200012,412.950012,400.049988,407.049988,397.585266,4555429,0.6597,0,0.888,0.112,0.9997,0.111,0.878,0.01
20-09-2017,408.100006,412.850006,406.049988,409.700012,400.173645,5238339,0.9682,0,0.691,0.309,0.9997,0.113,0.876,0.011
30-08-2017,386,392.399994,385.049988,389.75,380.687561,2979277,-0.3818,0.133,0.867,0,0.9998,0.115,0.875,0.011
14-08-2017,385,405.799988,385,396.200012,386.987579,2746774,0.3818,0,0.918,0.082,0.9998,0.116,0.874,0.011
19-06-2017,365,375.600006,365,373.799988,363.909027,7328947,-0.3612,0.207,0.67,0.123,0.9998,0.116,0.874,0.01
25-05-2017,344.899994,346.25,331.299988,340.75,331.733582,5992900,0.1027,0.056,0.878,0.066,0.9998,0.116,0.874,0.01
24-05-2017,333.399994,342.950012,328.100006,339.649994,330.662659,8363216,0,0,1,0,0.9998,0.116,0.874,0.01
12-05-2017,360.399994,360.399994,353.399994,357.950012,348.478485,2958586,0.6486,0,0.71,0.29,0.9998,0.116,0.874,0.01
26-04-2017,332.450012,333.899994,318,323.5,314.940063,4078479,0,0,1,0,0.9998,0.116,0.874,0.01
11-04-2017,352.450012,355.850006,330.549988,333.799988,324.967438,9397306,0,0,1,0,0.9998,0.118,0.872,0.01
